full_name,rank,type,abbr
20 Et 21-Revue D Histoire,4,CAS,
2D Materials,3,CAS,
3 Biotech,4,CAS,
3C Empresa,4,CAS,
3c Tecnologia,4,CAS,
3C Tic,4,CAS,
3D Printing and Additive Manufacturing,4,CAS,
3D Printing in Medicine,3,CAS,
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,3,CAS,
452 F-Revista de Teoria de la Literatura y Literatura Comparada,4,CAS,
4OR-A Quarterly Journal of Operations Research,4,CAS,
A & A Practice,4,CAS,
A + U-ARCHITECTURE AND URBANISM,4,CAS,
A&C-Revista de Direito Administrativo & Constitucional,4,CAS,
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,4,CAS,
AACN Advanced Critical Care,4,CAS,
AAPG BULLETIN,3,CAS,
AAPS Journal,3,CAS,
AAPS PHARMSCITECH,4,CAS,
AATCC Journal of Research,4,CAS,
AATCC REVIEW,4,CAS,
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,3,CAS,
Abacus-A Journal of Accounting Finance and Business Studies,4,CAS,
Abakos,4,CAS,
Abanico Veterinario,4,CAS,
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,4,CAS,
Abdominal Radiology,3,CAS,
ABE Journal,4,CAS,
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,4,CAS,
aBIOTECH,2,CAS,
Aboriginal History,3,CAS,
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,4,CAS,
Academia y Virtualidad,4,CAS,
Academia-Revista Latinoamericana de Administracion,4,CAS,
ACADEMIC EMERGENCY MEDICINE,3,CAS,
Academic Journal of Modern Philology,4,CAS,
ACADEMIC MEDICINE,1,CAS,
Academic Pathology,4,CAS,
Academic Pediatrics,3,CAS,
ACADEMIC PSYCHIATRY,4,CAS,
ACADEMIC RADIOLOGY,2,CAS,
Academy of Management Annals,1,CAS,
Academy of Management Discoveries,2,CAS,
ACADEMY OF MANAGEMENT JOURNAL,1,CAS,
Academy of Management Learning & Education,2,CAS,
Academy of Management Perspectives,2,CAS,
ACADEMY OF MANAGEMENT REVIEW,1,CAS,
Academy Review,4,CAS,
ACADIENSIS,4,CAS,
ACAROLOGIA,3,CAS,
Access to Justice in Eastern Europe,4,CAS,
ACCESS-Access to science business innovation in the digital economy,4,CAS,
ACCIDENT ANALYSIS AND PREVENTION,1,CAS,
Accion Psicologica,4,CAS,
Acciones e Investigaciones Sociales,4,CAS,
Accountability in Research-Ethics Integrity and Policy,2,CAS,
ACCOUNTING AND BUSINESS RESEARCH,4,CAS,
Accounting and Finance,4,CAS,
Accounting Auditing & Accountability Journal,2,CAS,
Accounting Economics and Law-A Convivium,4,CAS,
Accounting Education,3,CAS,
Accounting Forum,3,CAS,
Accounting Historians Journal,4,CAS,
Accounting History Review,4,CAS,
Accounting History,4,CAS,
Accounting Horizons,3,CAS,
Accounting in Europe,3,CAS,
ACCOUNTING ORGANIZATIONS AND SOCIETY,2,CAS,
Accounting Perspectives,4,CAS,
Accounting Research Journal,4,CAS,
ACCOUNTING REVIEW,2,CAS,
ACCOUNTS OF CHEMICAL RESEARCH,1,CAS,
Accounts of Materials Research,1,CAS,
ACCREDITATION AND QUALITY ASSURANCE,4,CAS,
ACE-Architecture City and Environment,4,CAS,
ACG Case Reports Journal,4,CAS,
ACI MATERIALS JOURNAL,4,CAS,
ACI STRUCTURAL JOURNAL,4,CAS,
ACM Communications in Computer Algebra,4,CAS,
ACM COMPUTING SURVEYS,1,CAS,
ACM Journal of Data and Information Quality,4,CAS,
ACM Journal on Computing and Cultural Heritage,3,CAS,
ACM Journal on Emerging Technologies in Computing Systems,4,CAS,
ACM SIGCOMM Computer Communication Review,4,CAS,
ACM SIGecom Exchanges,4,CAS,
ACM Transactions on Accessible Computing,2,CAS,
ACM Transactions on Algorithms,3,CAS,
ACM Transactions on Applied Perception,3,CAS,
ACM Transactions on Architecture and Code Optimization,3,CAS,
ACM Transactions on Asian and Low-Resource Language Information Processing,4,CAS,
ACM Transactions on Autonomous and Adaptive Systems,4,CAS,
ACM Transactions on Computation Theory,4,CAS,
ACM Transactions on Computational Logic,4,CAS,
ACM TRANSACTIONS ON COMPUTER SYSTEMS,4,CAS,
ACM Transactions on Computer-Human Interaction,1,CAS,
ACM Transactions on Computing Education,3,CAS,
ACM Transactions on Cyber-Physical Systems,4,CAS,
ACM TRANSACTIONS ON DATABASE SYSTEMS,2,CAS,
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,4,CAS,
ACM Transactions on Economics and Computation,4,CAS,
ACM Transactions on Embedded Computing Systems,3,CAS,
ACM TRANSACTIONS ON GRAPHICS,1,CAS,
ACM Transactions on Human-Robot Interaction,2,CAS,
ACM TRANSACTIONS ON INFORMATION SYSTEMS,2,CAS,
ACM Transactions on Intelligent Systems and Technology,3,CAS,
ACM Transactions on Interactive Intelligent Systems,4,CAS,
ACM Transactions on Internet of Things,3,CAS,
ACM Transactions on Internet Technology,3,CAS,
ACM Transactions on Knowledge Discovery from Data,3,CAS,
ACM Transactions on Management Information Systems,4,CAS,
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,2,CAS,
ACM Transactions on Modeling and Computer Simulation,4,CAS,
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,4,CAS,
ACM Transactions on Multimedia Computing Communications and Applications,3,CAS,
ACM Transactions on Parallel Computing,4,CAS,
ACM Transactions on Privacy and Security,3,CAS,
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,2,CAS,
ACM Transactions on Quantum Computing,3,CAS,
ACM Transactions on Reconfigurable Technology and Systems,3,CAS,
ACM Transactions on Sensor Networks,4,CAS,
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1,CAS,
ACM Transactions on Spatial Algorithms and Systems,4,CAS,
ACM Transactions on Storage,3,CAS,
ACM Transactions on the Web,4,CAS,
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,4,CAS,
ACOUSTICAL PHYSICS,4,CAS,
Acoustical Science and Technology,4,CAS,
Acoustics Australia,4,CAS,
Acoustics,4,CAS,
Acque Sotterranee-Italian Journal of Groundwater,4,CAS,
ACR Open Rheumatology,3,CAS,
Across Languages and Cultures,1,CAS,
ACS Agricultural Science & Technology,4,CAS,
ACS Applied Bio Materials,3,CAS,
ACS Applied Electronic Materials,3,CAS,
ACS Applied Energy Materials,3,CAS,
ACS Applied Materials & Interfaces,2,CAS,
ACS Applied Nano Materials,3,CAS,
ACS Applied Polymer Materials,2,CAS,
ACS Bio & Med Chem Au,4,CAS,
ACS Biomaterials Science & Engineering,3,CAS,
ACS Catalysis,1,CAS,
ACS Central Science,1,CAS,
ACS Chemical Biology,2,CAS,
